Rank;Country;Region;HDI;Life_expec;school_years;GNI_cap;Gender_inequal
138;Lao Peoples Democratic Republic;Asia Oriental;0,543;67,8;4,6;2435,19;0,483
140;Bhutan;Asia Oriental;0,538;67,6;2,3;5246,13;0,464
141;Swaziland;Africa;0,536;48,9;7,1;5104,25;0,525
142;Congo;Africa;0,534;57,8;5,9;2933,53;0,610
143;Solomon Islands;Oceania;0,530;68,2;4,5;2172,03;
144;Sao Tome and Principe;Africa;0,525;64,9;4,7;1863,56;
145;Kenya;Africa;0,519;57,7;7,0;1540,88;0,608
146;Bangladesh;Asia Oriental;0,515;69,2;4,8;1785,40;0,518
146;Pakistan;Asia Central y Proximo Oriente;0,515;65,7;4,9;2566,06;0,567
148;Angola;Africa;0,508;51,5;4,7;4812,18;
149;Myanmar;Asia Oriental;0,498;65,7;3,9;1816,55;0,437
150;Cameroon;Africa;0,495;52,1;5,9;2114,28;0,628
151;Madagascar;Africa;0,483;66,9;5,2;827,95;
152;Tanzania (United Republic of);Africa;0,476;58,9;5,1;1382,86;0,556
153;Nigeria;Africa;0,471;52,3;5,2;2102,12;
154;Senegal;Africa;0,470;59,6;4,5;1653,17;0,540
155;Mauritania;Africa;0,467;58,9;3,7;2173,65;0,643
156;Papua New Guinea;Oceania;0,466;63,1;3,9;2386,20;0,617
157;Nepal;Asia Oriental;0,463;69,1;3,2;1136,91;0,485
158;Lesotho;Africa;0,461;48,7;5,9;1879,43;0,534
159;Togo;Africa;0,459;57,5;5,3;928,16;0,566
160;Yemen;Asia Central y Proximo Oriente;0,458;65,9;2,5;1820,22;0,747
161;Haiti;Americas;0,456;62,4;4,9;1069,50;0,592
161;Uganda;Africa;0,456;54,5;4,7;1167,69;0,517
163;Zambia;Africa;0,448;49,4;6,7;1357,75;0,623
164;Djibouti;Africa;0,445;58,3;3,8;2350,21;
165;Gambia;Africa;0,439;58,8;2,8;1730,57;0,594
166;Benin;Africa;0,436;56,5;3,2;1439,40;0,618
167;Rwanda;Africa;0,434;55,7;3,3;1147,20;0,414
168;Côte dIvoire;Africa;0,432;56,0;4,2;1592,88;0,632
169;Comoros;Africa;0,429;61,5;2,8;985,67;
170;Malawi;Africa;0,418;54,8;4,2;773,67;0,573
171;Sudan;Africa;0,414;61,8;3,1;1847,96;0,604
172;Zimbabwe;Africa;0,397;52,7;7,2;424,32;0,544
173;Ethiopia;Africa;0,396;59,7;2,2;1017,26;
174;Liberia;Africa;0,388;57,3;3,9;480,31;0,658
175;Afghanistan;Asia Central y Proximo Oriente;0,374;49,1;3,1;999,81;0,712
176;Guinea-Bissau;Africa;0,364;48,6;2,3;1042,47;
177;Sierra Leone;Africa;0,359;48,1;3,3;881,31;0,643
178;Burundi;Africa;0,355;50,9;2,7;544,39;0,476
178;Guinea;Africa;0,355;54,5;1,6;941,44;
180;Central AAfrican Republic;Africa;0,352;49,1;3,5;721,51;0,654
181;Eritrea;Africa;0,351;62,0;3,4;530,60;
182;Mali;Africa;0,344;51,9;2,0;852,91;0,649
183;Burkina Faso;Africa;0,343;55,9;1,3;1201,66;0,609
184;Chad;Africa;0,340;49,9;1,5;1258,10;
185;Mozambique;Africa;0,327;50,7;1,2;905,86;0,582
186;Congo (Democratic Republic of the);Africa;0,304;48,7;3,5;319,22;0,681
186;Niger;Africa;0,304;55,1;1,4;701,05;0,707
